title,difficulty,serves,rating,vegetarian,vegan,dairy_free,gluten_free,prep_time,cook_time,ingredients,ingredient,recipe_urls
Creamy courgette lasagne,Easy,Serves 4,,TRUE,FALSE,FALSE,FALSE,Prep:10 mins,Cook:20 mins,,"['dried lasagne', '1 tbsp sunflower oil', '1 onion; finely chopped', '700g courgette (about 6); coarsely grated', '2 garlic cloves; crushed', '250g tub ricotta', '50g cheddar', 'jar tomato sauce']",https://www.bbcgoodfood.com/recipes/baked-cod-with-creamy-mushroom-leek-orzo
Mushroom & sausage pasta,Easy,Serves 4,,FALSE,FALSE,FALSE,FALSE,Prep:10 mins,Cook:20 mins,,"['sausages;', '4 bacon rashers; diced', '200g mushrooms; chopped', '350g pasta shapes', '50g parmesan; grated; plus extra shavings to serve', '2 egg yolks', 'small bunch parsley; finely chopped', '2 tbsp half-fat crème fraîche']",https://www.bbcgoodfood.com/recipes/quick-easy-korean-pork
Lemon & greens pesto pasta,Easy,Serves 4,,TRUE,FALSE,FALSE,FALSE,Prep:5 mins,Cook:10 mins,,"['350g pasta (we used linguine)', '½ small head of broccoli; cut into florets', 'large handful of basil', '1 large handful of  spinach wilted in boiling water; cooled and excess water squeezed out', 'pine nuts', '1 garlic clove; grated', '½ lemon; zested and juiced', '6 tbsp extra virgin olive oil', 'large handful of frozen peas; set aside in boiled water until heated through', '3 tbsp grated parmesan or vegetarian hard cheese', 'soft cheese']",
Pasta with salmon & peas,Easy,Makes enough for 2 adults + 2 children,,FALSE,FALSE,FALSE,FALSE,Prep:5 mins,Cook:10 mins - 12 mins,,"['wholewheat fusilli', 'knob of butter', '1 large shallot; finely chopped', '140g frozen peas', '2 skinless salmon fillets; cut into chunks', '140g low-fat crème fraîche', 'low-salt vegetable stock cube', 'chives;']",
Creamy carbonara,Easy,Serves 4,,FALSE,FALSE,FALSE,FALSE,Prep:5 mins,Cook:20 mins,,"['spaghetti', '1 tbsp olive oil', '200g smoked pancetta  cubes or streaky bacon; chopped', '2 garlic cloves; crushed', '3 eggs', '75ml double cream', '50g Grana padano or parmesan; finely grated; plus extra to serve']",
Bacon & broccoli pasta,Easy,Serves 4,,FALSE,FALSE,FALSE,FALSE,Prep:5 mins,Cook:15 mins,,"['500g pack shaped pasta  (we used farfalle)', '1 head  broccoli; about 300g; cut into small florets', '8 rashers smoked bacon; cut into large pieces', '5 tbsp  pesto', 'grated  parmesan (or vegetarian alternative); to serve']",
"Sausage, leek & fennel pasta",Easy,Serves 4,,FALSE,FALSE,FALSE,FALSE,Prep:5 mins,Cook:25 mins,,"['1 tbsp olive oil', 'good-quality pork sausages', '3 leeks; thinly sliced', 'fusilli', '2 garlic cloves; crushed', '1 tsp fennel seeds', '2 tsp wholegrain mustard', 'zest 0.5 lemon', 'grated parmesan; to serve']",
Quick and easy pasta salad,Easy,Serves 4,,FALSE,FALSE,FALSE,FALSE,Total time30 mins,,,"['farfalle', '200g frozen peas', '1 large tomato', 'sundried tomatoes', '2 tbsp olive oil', 'white wine vinegar', '1 garlic clove', 'large handful fresh basil leaves', '85g pack prosciutto  or salami']",
"Spaghetti with fennel, anchovies, currants, pine nuts & capers",Easy,Serves 4-5,,FALSE,FALSE,FALSE,FALSE,Prep:10 mins,Cook:15 mins,,"['2 fennel bulbs', 'spaghetti', '50ml extra virgin olive oil', '3 garlic cloves; finely sliced', '100g jar anchovy fillets in olive oil; roughly chopped', '½tsp dried chilli flakes', 'currants', '2 ½ tbsp capers; rinsed', '1 small pack flat-leaf parsley; leaves picked and finely chopped', 'pine nuts', 'lemon juice']",
Spaghetti puttanesca with red beans & spinach,Easy,Serves 2,,TRUE,TRUE,TRUE,FALSE,Prep:10 mins,Cook:17 mins,,"['wholemeal spaghetti', '1 large onion; finely chopped', '1 tbsp rapeseed oil', '1 red chilli; deseeded and sliced', '2 garlic cloves; chopped', '200g cherry tomatoes; halved', 'cider vinegar', '1 tbsp capers', '5 Kalamata olives; halved', '1 tsp smoked paprika', '210g can kidney beans; drained', '160g spinach leaves', 'small handful of chopped parsley', 'small handful of  basil leaves']",
Pea fusilli with ham & mustard sauce,Easy,Serves 2,,FALSE,FALSE,FALSE,TRUE,Prep:5 mins,Cook:10 mins,,"['green pea pasta', '100g crème fraîche', '2 tsp wholegrain mustard', 'cooked ham hock']",
"Asparagus, chilli & feta farfalle",Easy,Serves 2,,TRUE,FALSE,FALSE,FALSE,Prep:5 mins,Cook:15 mins,,"['farfalle', '2 tbsp olive oil; plus extra to serve', '2 garlic cloves; finely chopped', '1 red chilli; finely chopped', '250g asparagus; woody ends trimmed; cut into small pieces', '1 lemon; zested and juiced', 'handful basil leaves', 'pine nuts', '50g feta; crumbled']",
"Orecchiette with butter beans, parsley, chilli & lemon",Easy,Serves 4,,TRUE,FALSE,FALSE,FALSE,Prep:5 mins,Cook:10 mins,,"['orecchiette', '1 tbsp olive oil', '2 red chillies; deseeded and finely chopped', '2 garlic cloves; crushed', 'butter beans;', '400g can  cherry tomatoes', '1 lemon; zested and juiced', '½ large bunch of parsley; finely chopped', '25g grated parmesan or vegetarian alternative (optional)']",https://www.bbcgoodfood.com/recipes/bucatini-with-mushrooms-sausage
Chilli chicken & peanut pies,Easy,"Makes 2 pies, each serves 2",,FALSE,FALSE,FALSE,TRUE,Prep:15 mins,Cook:1 hr,,"['500g potatoes; peeled and chopped', '2 x 400g cans cannellini beans; drained', 'chopped fresh coriander', '1 tsp chilli powder', '2 tsp olive oil', '2 tbsp finely chopped ginger', '1 red chilli; deseeded for less spice', '2 tbsp cumin seeds', 'ground coriander', '1 tsp chilli powder', '400g leeks; thickly sliced', '1 red pepper; deseeded and diced', '1 green pepper; deseeded and diced', '2 large skinless chicken breasts; about 400g; diced', '400g can chopped tomatoes', 'tomato purée', 'vegetable bouillon', '3 tbsp peanut butter (with no sugar or palm oil)', '320g broccoli; to serve']",https://www.bbcgoodfood.com/recipes/speedy-sausage-stroganoff-tagliatelle
Chicken jalfrezi,Easy,Serves 4,,FALSE,FALSE,FALSE,TRUE,Prep:10 mins,Cook:1 hr,,"['½ large onion; roughly chopped', '2 garlic cloves; chopped', '1 green chilli; finely chopped', ' for frying', '400g can plum tomatoes', 'ground coriander', '1 tbsp ground cumin', '1 tsp turmeric', '2-3 chicken breasts; diced', '1 tsp ground cumin', 'ground coriander', '1 tsp turmeric', '½ large onion; sliced', '1 red pepper; chopped', '2 red chillies; finely chopped (optional)', '2 tsp garam masala', 'handful of fresh; chopped coriander leaves', 'cooked basmati rice or naan bread to serve']",https://www.bbcgoodfood.com/recipes/quick-sausage-bolognese
Healthy chicken stir-fry,Easy,Serves 2,,FALSE,FALSE,FALSE,TRUE,Prep:10 mins,Cook:20 mins,,"['65g brown basmati rice', '2 tsp rapeseed oil', '15g ginger; peeled and cut into thin matchsticks', '2 small red onions (160g); cut into wedges', '160g broccoli; broken into florets; stem finely chopped', '2 carrots (160g); halved lengthways; then cut into diagonal slices', '1 red chilli; finely chopped (optional)', '200g chicken breast; cut into thin strips', '½ tsp  ground cumin', '1 tbsp crunchy peanut butter', '1 tbsp wheat-free tamari', 'brown rice vinegar']",https://www.bbcgoodfood.com/recipes/caponata-pasta
Healthy chicken burritos,Easy,Serves 4,,FALSE,FALSE,FALSE,FALSE,Prep:10 mins,Cook:25 mins,,"['2 tsp rapeseed oil', '1 large red pepper; halved lengthways; deseeded and cut into thick strips', '1 tsp cumin seeds', '2-3 tsp  mild chilli powder; to taste', 'black beans', '198g can sweetcorn; drained', 'tomato purée', '1 large garlic clove; finely grated', '220g pouch cooked wholegrain rice (or leftover cooked brown rice)', '300g cooked chicken; sliced or shredded (or a combination of leg and breast meat left over from a roast)', 'coriander;', '2 small avocados; stoned and quartered', '1 lime;  juiced', 'wholemeal tortilla wraps']",https://www.bbcgoodfood.com/recipes/feel-good-pasta-soup
Panko pesto fish,Easy,Serves 4,,FALSE,FALSE,FALSE,FALSE,Prep:20 mins,Cook:50 mins,,"['1kg floury potatoes; cut into wedges', '2 tbsp olive oil; plus a little extra for the baking sheet', 'firm white sustainable fish;', '2 tbsp free-from pesto (or regular)', 'dried white breadcrumbs', '2 tbsp finely grated parmesan', 'chopped pine nuts', '1 tbsp capers or cornichons; finely chopped', 'chopped dill', 'mayonnaise', '¼ lemon; zested and juiced', 'cooked peas; to serve']",https://www.bbcgoodfood.com/recipes/creamy-courgette-bacon-pasta
Fridge-raid fried rice,Easy,Serves 4,,FALSE,FALSE,FALSE,FALSE,Prep:15 mins,Cook:15 mins,,"['vegetable oil', '1 white onion; finely chopped', '1 carrot; finely chopped', 'green beans;', '1 red or yellow pepper; finely chopped', '½ medium broccoli; chopped into small florets', '150g cooked chicken (or any other meat); roughly chopped; optional', 'rice', '2 eggs; beaten', 'sesame oil', 'oyster sauce', '1 spring onion; finely sliced', 'sesame seeds']",https://www.bbcgoodfood.com/recipes/baked-camembert-pasta-alfredo
Chicken & tzatziki wraps,Easy,Serves 4,,FALSE,FALSE,FALSE,FALSE,Prep:5 mins - 10 mins,Cook:10 mins - 15 mins,,"['cucumber', 'Greek yogurt', '500g chicken breast; thinly sliced', '2tbsp olive oil', 'wholemeal wraps', '4 large ripe tomatoes; thinly sliced']",https://www.bbcgoodfood.com/recipes/pea-ham-pasta
"Chicken, squash & chickpea stew",Easy,Serves 3 - 4,,FALSE,FALSE,FALSE,TRUE,Prep:20 mins,Cook:1 hr and 10 mins,,"['1 tbsp olive oil', '4-6 skin-on chicken thighs or drumsticks', '1 onion; finely chopped', '2 garlic cloves; crushed', '1-2 rosemary sprigs; leaves picked and finely chopped', 'tomato purée', 'bay leaves', '400g butternut squash; cut into 3cm chunks', 'chickpeas;', '4 tbsp yogurt', '2 tsp harissa', 'toasted flaked almonds', 'coriander leaves']",https://www.bbcgoodfood.com/recipes/bacon-mushroom-pasta
Spiced salmon & tomato traybake,Easy,Serves 2,,FALSE,FALSE,FALSE,FALSE,Prep:5 mins,Cook:25 mins,,"['1 red onion; sliced', '200g cherry tomatoes', 'mild or madras  curry paste', 'chickpeas', '2 skinless salmon fillets', 'naan breads', '2 tbsp fat-free  yogurt', ' and a few coriander leaves; to serve (optional)']",https://www.bbcgoodfood.com/recipes/cheesy-broccoli-pasta-bake
Healthy lasagne,Easy,Serves 4,,FALSE,FALSE,FALSE,FALSE,Prep:15 mins,Cook:1 hr and 15 mins,,"['1 tbsp olive oil', '1 large onion (250g); finely chopped', '320g carrots; finely chopped', '2 celery sticks (140g); finely chopped', 'bay leaves', '500g 5%  beef mince', '3 large garlic cloves; finely grated', '400g can  chopped tomatoes', 'tomato purée', 'vegetable bouillon powder', 'semi-skimmed milk', '30g wholemeal flour', 'generous pinch of  nutmeg', 'lasagne', '25g finely grated parmesan']",https://www.bbcgoodfood.com/recipes/creamy-courgette-lasagne
Vegetarian pastitsio,More effort,Serves 4,,TRUE,FALSE,FALSE,FALSE,Prep:25 mins,Cook:1 hr and 15 mins,,"['2 large onions (330g); halved and sliced', '1 tbsp olive oil', 'vegetable bouillon powder', 'bay leaves', '2 tbsp balsamic vinegar', '2 garlic cloves;  finely grated', '1 tsp dried oregano', '1 tsp ground cinnamon', 'penne pasta', '400g can chopped tomatoes', 'tomato purée', '2 x 400g cans green lentils', ' of tomatoes; onion and dill tossed with lemon and olives; to serve', '500ml milk or plant-based milk', '50g wholemeal flour', '1 egg; separated', 'vegetarian feta;', '½ tsp oregano']",https://www.bbcgoodfood.com/recipes/mushroom-sausage-pasta
Duck ragu with pappardelle & swede,Easy,Serves 4,,FALSE,FALSE,FALSE,FALSE,Prep:30 mins,Cook:1 hr and 20 mins,,"['2 tbsp olive oil', '2 duck breasts; skin removed', '1 onion; finely chopped', '1 tsp fennel seeds', '2 garlic cloves', 'bay leaf', '½ small pack parsley; leaves picked and stalks finely chopped', '8 thyme sprigs; leaves picked', 'red wine', 'tomato purée', '400g can  plum tomatoes', 'stock', 'red wine vinegar', 'raisins', ' and parmesan; to serve', 'fresh  pappardelle', '750g swede (1 large or 2 small) peeled; then cut into thick ribbons using a vegetable peeler']",https://www.bbcgoodfood.com/recipes/lemon-greens-pesto-pasta
Sausage & white bean casserole,Easy,Serves 4,,FALSE,FALSE,FALSE,FALSE,Prep:20 mins,Cook:1 hr and 5 mins,,"['red or yellow pepper;', '2 carrots; cut into thick slices', '2 red onions; cut into wedges', 'chipolatas;', '400g can peeled cherry tomatoes', 'white beans;', 'low-salt chicken stock', '2 tsp Dijon mustard', '100g frozen peas', 'potatoes; pasta or rice; to serve']",https://www.bbcgoodfood.com/recipes/pasta-salmon-peas
"Chorizo, orzo & sweetcorn summer stew",Easy,Serves 2,,FALSE,FALSE,FALSE,FALSE,Prep:10 mins,Cook:25 mins,,"['1 tsp olive oil', 'bunch of  spring onions; sliced; green and white parts separated', '1 red pepper; cut into small cubes', '50g chorizo; cut into small cubes', '1 garlic clove; crushed', 'orzo', '½ tsp  smoked paprika', '200g can  sweetcorn; drained', '1 large  tomato; chopped', 'low-salt chicken or  vegetable stock', '½ small bunch of  parsley; chopped', '½  lemon; zested and juiced']",https://www.bbcgoodfood.com/recipes/learn-to-make-spaghetti-carbonara
Spicy beef taco bowl,Easy,Serves 4,,FALSE,FALSE,FALSE,FALSE,Prep:15 mins,Cook:25 mins,,"['1 tsp olive oil', '1 large red pepper; deseeded and finely diced', '500g 5% fat  beef mince', '1 tbsp chipotle paste', '1 tsp ground cumin', 'ground coriander', '200g can chopped tomatoes', 'tomato purée', 'coriander;', '2 red onions; thinly sliced', '2 limes; juiced', 'cooked microwave wholemeal basmati rice', 'black beans;', '200g cherry tomatoes; halved', '198g can sweetcorn (salt- and sugar-free)', '2 small  avocados; sliced']",https://www.bbcgoodfood.com/recipes/bacon-broccoli-pasta
"Chicken, sweet potato & pea curry",Easy,Serves 4,,FALSE,FALSE,FALSE,FALSE,Prep:10 mins,Cook:30 mins,,"['1 tbsp rapeseed oil', 'korma paste', '2 skinless chicken breast fillets; each cut into 8-10 pieces', '320g sweet potatoes; chopped into bite-sized pieces', '6 tbsp red lentils', '325ml can light coconut milk (freeze the rest for later)', '200g frozen peas', '220g cherry tomatoes', '300g cooked rice or roti; to serve']",https://www.bbcgoodfood.com/recipes/sausage-leek-fennel-pasta
Sardine pasta with crunchy parsley crumbs,Easy,Serves 4,,FALSE,FALSE,FALSE,FALSE,Prep:10 mins,Cook:25 mins,,"['1 tbsp olive oil', 'dried breadcrumbs', '3 garlic cloves; finely chopped', '1 rosemary sprig; leaves finely chopped', '2 x 120g cans sardines; drained', 'passata', '50g sliced black olives; drained', 'linguine', 'small pack parsley; leaves chopped', '25g parmesan; finely grated']",https://www.bbcgoodfood.com/recipes/deli-pasta-salad
Roasted aubergine salad,Easy,Serves 6,,TRUE,FALSE,FALSE,TRUE,Prep:15 mins,Cook:45 mins,,"['2 aubergines; chopped', '2 red peppers; chopped', '2 small red onions; peeled and cut into 8 wedges', '6 garlic cloves; skin left on', '6 tbsp olive oil', '200g cherry tomatoes', 'can chickpeas;', '3 tbsp pomegranate molasses', '1 lemon; juiced', '½ tsp honey', '2 tbsp capers', '60g rocket leaves', 'sunflower or pumpkin seeds']",https://www.bbcgoodfood.com/recipes/spaghetti-fennel-anchovies-currants-pine-nuts-capers
Lamb & squash biryani with cucumber raita,Easy,Serves 4,,FALSE,FALSE,FALSE,FALSE,Prep:10 mins,Cook:25 mins,,"['4 lean lamb steaks (about 400g); trimmed of all fat; cut into chunks', '2 garlic cloves; finely grated', '8 tsp chopped fresh ginger', 'ground coriander', '4 tsp rapeseed oil', '4 onions; sliced', '2 red chillies; deseeded and chopped', '170g brown basmati rice', '320g diced butternut squash', '2 tsp cumin seeds', 'vegetable bouillon powder', '; grated', 'bio yogurt', '4 tbsp chopped mint; plus a few extra leaves', '; chopped']",https://www.bbcgoodfood.com/recipes/spaghetti-puttanesca-red-beans-spinach
Ginger chicken & green bean noodles,Easy,Serves 2,,FALSE,FALSE,FALSE,FALSE,Prep:10 mins,Cook:15 mins,,"['vegetable oil', '2 skinless chicken breasts; sliced', 'green beans', 'thumb-sized piece of  ginger; peeled and cut into matchsticks', '2 garlic cloves; sliced', '1 ball  stem ginger; finely sliced; plus 1 tsp syrup from the jar', 'cornflour', '1 tsp dark soy sauce; plus extra to serve (optional)', 'rice vinegar', 'cooked  egg noodles']",https://www.bbcgoodfood.com/recipes/pea-fusilli-ham-mustard-sauce
Mexican spiced tomato rice,Easy,Serves 4,,TRUE,TRUE,FALSE,TRUE,Prep:5 mins,Cook:40 mins,,"['1 tbsp sunflower oil', '1 red onion; finely chopped', '1 red chilli; finely chopped', '2 garlic cloves; crushed', '1 tsp ground cumin', 'coriander', '1 tsp smoked paprika', 'coriander', '1 tsp chipotle paste', '400g can chopped tomatoes', '250g wholegrain rice']",https://www.bbcgoodfood.com/recipes/asparagus-chilli-feta-farfalle
Sticky mango-roasted salmon,Easy,Serves 4,,FALSE,FALSE,FALSE,FALSE,Prep:15 mins,Cook:25 mins,,"['green beans', '150g thin-stemmed broccoli', '6 spring onions', '3 tsp olive oil', '4 salmon fillets; check for bones (see tip; below)', '3 tbsp mango chutney', '2 tsp low-salt soy sauce', 'ginger purée', 'coriander', 'noodles', 'chopping board', 'sharp knife', 'large saucepan', 'colander', ' (ours was 30cm x 40cm)', ' (optional)', 'measuring spoons', 'small bowl', 'oven gloves']",https://www.bbcgoodfood.com/recipes/orecchiette-with-butter-beans-parsley-chilli-lemon
Miso burgers with mint & pomegranate slaw,Easy,Serves 4,,TRUE,FALSE,FALSE,FALSE,Prep:15 mins,Cook:25 mins,,"['bulghar wheat', '1 tbsp rapeseed oil', '2 onions; chopped', '4 garlic cloves; chopped', '2 carrots; coarsely grated', '1 large red chilli; deseeded and finely chopped', '1 tsp cumin seeds', 'ground coriander', 'pack coriander', '1 lime; zested; 1/2 juiced; 1/2 cut into 4 wedges', 'cans chickpeas', '2 large eggs', '2 tbsp white miso paste', '½ small white cabbage; shredded', '1 red onion; halved and thinly sliced', '2 carrots; shredded (ideally with a julienne peeler)', '1 pomegranate seeds only', '2 tbsp chopped mint', 'cider vinegar', '1 tbsp extra virgin rapeseed oil']",
Sausage traybake,Easy,Serves 2,,FALSE,FALSE,FALSE,FALSE,Prep:10 mins,Cook:50 mins,,"['1 red onion; cut into wedges', '4 new potatoes; thinly sliced', '6 canned or jarred artichokes; halved', '100g cherry tomatoes', '4 spring onions; halved lengthways', 'pork sausages', '1 tsp fennel seeds', '1 small lemon; cut into wedges', '½ tbsp olive oil', 'flageolet or  butter beans', 'low-salt  vegetable stock', '2 tbsp fresh  pesto', '; to serve (optional)']",
Moroccan freekeh traybake,Easy,Serves 2,,TRUE,FALSE,FALSE,FALSE,Prep:5 mins,Cook:30 mins,,"['2 tbsp olive oil', 'chickpeas', 'ground coriander', '1 tsp ground cumin', '\xa0½ tsp chilli flakes', '270g cherry tomatoes', '\xa0½ x 400g can apricot halves; drained and roughly chopped', '70g green olives', '250g pouch  cooked freekeh', 'fat-free Greek yogurt', 'dill']",
Whole roast chicken with braised roots & peas,Easy,Serves 4 with leftover chicken breast ,,FALSE,FALSE,FALSE,TRUE,Prep:10 mins,Cook:50 mins,,"['800g medium potatoes; thinly sliced', '1 large leek (about 350g); sliced', '1 tbsp thyme leaves;  plus the stalks', '4 garlic cloves; chopped', '500g swede;  thinly sliced', 'vegetable stock;', '1 tbsp rapeseed oil', 'whole chicken', '320g frozen peas']",
Thai mackerel & sweet potato traybake,Easy,Serves 4,,FALSE,FALSE,FALSE,TRUE,Prep:30 mins,Cook:45 mins,,"['2 red chillies; deseeded and roughly chopped; plus extra sliced chillies to serve', '4 shallots; roughly chopped', '2 garlic cloves', '1 thumb-sized piece ginger; peeled and chopped', '1 lemongrass stalk', '1 tbsp hot smoked paprika', '2 limes; zested and juiced; plus wedges to serve', '200g sweet potato; peeled and cut into 1cm cubes', '1 tbsp rapeseed oil', '2 red peppers; deseeded and sliced', '3 lime leaves', '4 raw mackerel fillets', '4 spring onions; trimmed and sliced', 'coriander', '320g broccoli; steamed; to serve']",
Cajun chicken traybake with sweet potato wedges & chive dip,Easy,Serves 4,,FALSE,FALSE,FALSE,TRUE,Prep:15 mins,Cook:45 mins,,"['1 tsp each of ground cumin and smoked paprika', '1 tsp dried oregano', '1 tbsp fresh thyme leaves or 1 tsp dried', '8 skinless; boneless chicken thighs (900g)', '1 red and 1 yellow pepper;  deseeded and chopped', '3 red onions; sliced into 1cm-thin wedges', '2 celery sticks (125g) ; finely chopped', '1 tbsp rapeseed oil; plus 1 tsp', '2 sweet potatoes (375g peeled weight); cut into 16 wedges', '150g Kefir or bio yogurt ', 'snipped chives']",
Thai coconut crumbed chicken traybake,Easy,Serves 4,,FALSE,FALSE,FALSE,FALSE,Prep:15 mins,Cook:1 hr,,"['1 butternut squash; peeled; deseeded and cubed', '1 large  aubergine; cubed', '1 tbsp rapeseed oil', '3 tbsp desiccated coconut', 'fresh  breadcrumb', '4 skinless  chicken breasts', '1 egg; beaten', '300g cherry tomato', 'Thai red curry paste', ' leaves; roughly chopped', 'lime wedges; to serve']",
"Spinach, ricotta & chicken traybake",Easy,Serves 4,,FALSE,FALSE,FALSE,FALSE,Prep:20 mins,Cook:30 mins,,"['3 x bags  baby spinach', '4 tbsp ricotta', 'zest and juice 1 lemon', 'a few grinds of  nutmeg', '4 skinless  chicken breasts', '2 tbsp olive oil', 'fresh  breadcrumb', '3 courgettes; cut into batons', 'peppers', '2 red onions; cut into wedges; roots intact', '250g vine  cherry tomato', '4 garlic cloves']",
Baked cod,Easy,Serves 4,,FALSE,FALSE,FALSE,FALSE,Prep:10 mins,Cook:20 mins,,"['3 tbsp plain flour', '4 cod loin fillets ', '2 tbsp  olive oil', '1 lemon; sliced ', '½ small bunch of thyme']",
Chicken & new potato traybake,Easy,Serves 2 - 4,,FALSE,FALSE,FALSE,TRUE,Prep:15 mins,Cook:1 hr and 15 mins,,"['3 tbsp olive oil', '500g new potatoes', '140g large pitted green olives', '1 lemon; quartered', 'fresh bay leaves', '6 garlic cloves; unpeeled', '4 large chicken thighs', 'bag watercress or salad leaves; to serve']",
Pork & parsnip traybake,Easy,Serves 4,,FALSE,FALSE,FALSE,FALSE,Prep:10 mins,Cook:40 mins,,"['4 large parsnips (about 500g/1lb 3oz); peeled and cut lengthways into 6', '2 red onions; each cut into 8 wedges through the root', '2 ½ tbsp olive oil', '1 ½ tbsp wholegrain mustard', '4 pork chops; fat trimmed', '1 ½ tbsp clear honey', 'small handful sage leaves']",https://www.bbcgoodfood.com/recipes/spicy-peanut-chicken-pies
Roast chicken traybake,Easy,Serves 2,,FALSE,FALSE,FALSE,TRUE,Prep:10 mins,Cook:1 hr and 5 mins,,"['2 red onions (320g); sliced across into rings', '1 large red pepper; deseeded and chopped into 3cm pieces', '300g potatoes; peeled and cut into 3cm chunks', '2 tbsp rapeseed oil', '4 bone-in chicken thighs; skin and any fat removed', '1 lime; zested and juiced', '3 large garlic cloves; finely grated', '1 tsp smoked paprika', '1 tsp thyme leaves', 'vegetable bouillon powder', 'long stem broccoli']",https://www.bbcgoodfood.com/recipes/chicken-jalfrezi
"Chicken, red pepper & almond traybake",Easy,Serves 4,,FALSE,FALSE,FALSE,FALSE,Prep:15 mins,Cook:40 mins,,"['500g boneless; skinless chicken thigh', '3 medium red onions; cut into thick wedges', 'small red potato', '2 red peppers; deseeded and cut into thick slices', '1 garlic clove; finely chopped', '1 tsp each ground cumin; smoked paprika and  fennel seeds; slightly crushed', '3 tbsp olive oil', 'zest and juice 1 lemon', '50g whole blanched almond; roughly chopped', 'tub 0% Greek yogurt', 'small handful parsley or coriander; chopped; to serve']",https://www.bbcgoodfood.com/recipes/healthy-chicken-stir-fry
Curried chicken & new potato traybake,Easy,Serves 4,,FALSE,FALSE,FALSE,TRUE,Prep:15 mins,Cook:45 mins,,"['8 chicken drumsticks', '3 tbsp olive oil', 'garlic paste', '1 tsp ginger paste', '1 tsp garam masala', '1 tsp turmeric', '150ml pot  natural yogurt', '500g new potatoes; halved', '4 large tomatoes; roughly chopped', '1 red onion; finely chopped', 'coriander;']",https://www.bbcgoodfood.com/recipes/healthy-chicken-burritos
Roast sea bass & vegetable traybake,Easy,Serves 2,,FALSE,FALSE,FALSE,TRUE,Prep:10 mins,Cook:30 mins,,"['300g red-skinned potatoes; thinly sliced into rounds', '1 red pepper; cut into strips', '2 tbsp extra virgin olive oil', '1 rosemary sprig; leaves removed and very finely chopped', 'sea bass', '25g pitted black olive; halved', '½ lemon; sliced thinly into rounds', 'handful basil leaves']",https://www.bbcgoodfood.com/recipes/panko-pesto-fish
Salmon pesto traybake with baby roast potatoes,Easy,Serves 2 adults + 2 children,,FALSE,FALSE,FALSE,FALSE,Prep:5 mins,Cook:45 mins,,"['baby new potatoes;', '1 tsp olive oil', '2 large courgettes; cut into small chunks', '1 red pepper; cut into small chunks', '1 spring onion; finely sliced', 'pine nuts', '3-4 salmon fillets', 'juice ½ lemon', '1½ - 2 tbsp pesto']",https://www.bbcgoodfood.com/recipes/fridge-raid-fried-rice
Layered aubergine & lentil bake,Easy,Serves 4,,TRUE,FALSE,FALSE,TRUE,Prep:15 mins,Cook:45 mins,,"['2 aubergines; cut into 0.5cm slices lengthways', '3 tbsp olive oil', '140g puy lentils', '2 onions; finely chopped', '3 garlic cloves; finely chopped', '300g cooked  butternut squash', '400g can  chopped tomato', '½ small pack  basil leaves', 'ball of mozzarella']",https://www.bbcgoodfood.com/recipes/chicken-tzatziki-wraps
"Baked fish with tomatoes, basil & crispy crumbs",Easy,Serves 4,,FALSE,FALSE,FALSE,FALSE,Prep:5 mins,Cook:25 mins,,"['2 x 400g cans cherry tomatoes', '1 tbsp balsamic vinegar', '3 tbsp basil pesto', 'breadcrumbs', 'skinless firm  white fish', 'pack green bean', '320g pack thin-stemmed  broccoli']",https://www.bbcgoodfood.com/recipes/chicken-squash-chickpea-stew
"Smoky cod, broccoli & orzo bake",Easy,Serves 2,,FALSE,FALSE,FALSE,FALSE,Prep:10 mins,Cook:20 mins,,"['½ tbsp olive oil; plus a drizzle', '1 onion; chopped', '1 tsp smoked paprika; plus a pinch', '½-1 tbsp chipotle paste', '200g long-stem broccoli', 'vegetable stock', 'orzo', 'dill;', '½ small bunch of parsley; chopped', '50g frozen peas', '2 sustainable skinless cod fillets', 'fat-free yogurt']",https://www.bbcgoodfood.com/recipes/sweetcorn-chowder
Chicken cacciatore one-pot with orzo,Easy,Serves 4,,FALSE,FALSE,FALSE,FALSE,Prep:5 mins,Cook:55 mins,,"['2 tbsp olive oil', '4-6 skin-on; bone-in chicken thighs', '1 onion; finely sliced', '2 garlic cloves; sliced', 'red wine', 'bay leaves', '4 thyme sprigs', '2 rosemary sprigs', 'small bunch of parsley; stalks and leaves separated; finely chopped', '2 x 400g cans cherry tomatoes', 'chicken stock cube', '1 tbsp balsamic vinegar', '2 tbsp capers (optional)', 'handful of pitted green olives', 'orzo']",https://www.bbcgoodfood.com/recipes/spiced-salmon-tomato-traybake
All-in–one chicken with wilted spinach,Easy,Serves 2,,FALSE,FALSE,FALSE,TRUE,Prep:20 mins,Cook:1 hr,,"['2 beetroot; peeled and cut into small chunks', '300g celeriac; cut into small chunks', '2 red onions; quartered', '8 garlic cloves; 4 crushed; the rest left whole; but peeled', '1 tbsp rapeseed oil', '1½ tbsp  fresh thyme leaves; plus extra to serve', '1 lemon; zested and juiced', '1 tsp fennel seeds', '1 tsp English mustard powder', '1 tsp smoked paprika', 'bio yogurt', '4 bone-in chicken thighs; skin removed', '260g bag spinach']",https://www.bbcgoodfood.com/recipes/healthy-lasagne
